I,Common Name,Constellation,RA [deg],Dec [deg],U App Mag,B App Mag,V App Mag,J App Mag,H App Mag,K App Mag,U-B,B-V,J-H,H-K,Prop M. RA [mas/yr],Prop M. Dec [mas/yr],Radial Velocity [km/s],RV Err [km/s],Dist [pc],Dist Err [pc],Spec Type,Mass [solar],Mass Err [solar],Rad [solar],Rad Err [solar],Lum [solar],Lum Err [solar],Temp [K],Temp Err [K],LaTeX
Alpha Andromedae A,Alpheratz,Andromeda,2.096916167,29.09043111,1.48,1.95,2.06,2.3,2.33,2.37,-0.47,-0.11,-0.03,-0.04,137.46,-163.44,-10.1,0.2,29.74419988,0.309651099,B8IV,3.8,0.2,2.7,0.4,240,,13800,,$\alpha$
Alpha Andromedae B,,Andromeda,,,,,,,,,,,,,,,,,,,A3V,1.85,0.13,1.65,0.3,13,,8500,,
Beta Andromedae,Mirach,Andromeda,17.43301617,35.62055764,5.58,3.62,2.05,-0.84,-1.65,-1.87,1.96,1.57,0.81,0.22,175.9,-112.2,0.06,0.13,60.53268765,2.051955514,M0+IIIa,2.49,,100,,1995,,3842,,$\beta$
Gamma1 Andromedae,Almach,Andromeda,30.97480121,42.32972842,4.22,3.3,2.1,-0.02,-0.83,-0.86,0.92,1.2,0.81,0.03,42.32,-49.3,-11.5,0.6,120.4819277,15.0965307,K2+Iib,23.7,0.1,80,,2000,,4250,,$\gamma$
Gamma2 Andromedae,,Andromeda,,,,5.02,5.82,,,,,-0.8,,,30.02,-51.64,-14,5,79.58425187,3.724821415,B8V+A0V,,,,,,,,,
Delta Andromedae Aa,,Andromeda,9.83197992,30.86102176,6.04,4.56,3.28,1.18,0.4,0.43,1.48,1.28,0.78,-0.03,114.45,-84.02,-9.88,0.15,32.35198965,0.156997685,K3III-IIIb,1.3,,13.6,0.3,68,4,4315,9,$\delta$
Delta Andromedae Ab,,Andromeda,,,,,,,,,,,,,,,,,,,K4,0.7,0.1,,,,,,,
Iota Andromedae,,Andromeda,354.5341721,43.26807358,3.9,4.18,4.29,4.5,4.47,4.45,-0.28,-0.11,0.03,0.02,27.64,-1.02,-0.5,2,153.1393568,3.752266017,B8V,3.98,0.06,4.6,,638,,12620,,$\iota$
Kappa Andromedae,,Andromeda,355.1021151,44.33393239,3.8,4.06,4.14,4.29,4.31,4.34,-0.26,-0.08,-0.02,-0.03,80.73,-18.7,-12.7,0.8,51.62622612,0.506400773,B9IV,2.768,0.1,2.29,0.06,78.5,,11361,66,$\kappa$
Lambda Andromedae,,Andromeda,354.3910109,46.45814944,5.54,4.84,3.82,1.98,1.4,1.3,0.7,1.02,0.58,0.1,159.31,-422.38,6.84,0.18,26.40612622,0.146429535,G8IV,1.24,0.72,7.787,0.053,28.8,,4800,100,$\lambda$
Omicron Andromedae Aa,,Andromeda,345.4802691,42.3259815,3,3.53,3.62,3.827,3.81,3.85,-0.53,-0.09,0.017,-0.04,22.99,0.88,-14,0.5,210.5263158,23.49030471,B6IV,3.6,,6.6,,1380,,13800,,$o$
Mu Andromedae,,Andromeda,14.1883838,38.4993439,4.14,3.99,3.87,3.57,3.5,3.49,0.15,0.12,0.07,0.01,153.48,36.49,7.2,0.2,39.77724741,1.360717294,A6V,2,,2.4,,21,,7959,,$\mu$
Pi Andromedae,,Andromeda,9.220205235,33.719344,3.65,4.2,4.36,4.65,4.68,4.625,-0.55,-0.16,-0.03,0.055,14.75,-3.51,8.2,0.6,183.4862385,10.43683192,B5V,,,,,1136,,15276,,$\pi$
51 Andromedae,Nembus,Andromeda,24.49815414,48.62821376,6.29,4.85,3.57,1.48,0.741,0.74,1.44,1.28,0.739,0.001,61.95,-112.15,16.264,0.0005,54.31830527,0.531086092,K3III,1.75,0.15,21.3,0.21,142.1,7.6,4951,64,51
Nu Andromedae,,Andromeda,12.45353069,41.07891011,3.8,4.38,4.53,4.85,4.92,4.93,-0.58,-0.15,-0.07,-0.01,22.77,-18.35,-23.9,0.9,189.3939394,5.380509642,B5V,5.9,0.2,3.4,,1104,,14851,396,$\nu$
Phi Andromedae,,Andromeda,17.37552342,47.24179428,3.84,4.18,4.25,4.401,4.451,4.585,-0.34,-0.07,-0.05,-0.134,4.05,-12.43,-2.2,1.2,219.7802198,28.982007,B5III,,,,,882,,13490,,$\phi$
Epsilon Andromedae,,Andromeda,9.638947222,29.31175794,5.72,5.25,4.38,2.58,2.154,2.07,0.47,0.87,0.426,0.084,-229.04,-253.11,-83.958,0.0009,50.22601708,0.47930403,G7III,1.01,0.35,9.04,0.34,51.3,,5082,20,$\epsilon$
Zeta Andromedae Aa,,Andromeda,11.83468946,24.26717801,6.05,5.18,4.06,2.19,1.615,1.52,0.87,1.12,0.575,0.095,-101.17,-81.77,-24.43,0.1,58.00464037,0.874779959,K1III,2.6,0.4,15.9,0.8,95.5,,4665,140,$\zeta$
