Common Name,ID1,ID2,ObjType,Constellation,RA,Dec,B,V,B-V,R1,R2,Angle,Draw?,PM RA,PM Dec,RV,RV Err,Dist,Dist Err
Crab Nebula,M1,NGC 1952,SNR,Taurus,83.633083,22.014500,,8.40,,7.000,4.833,128,No,,,,,,
,M2,NGC 7089,GC,Aquarius,323.362583,-0.823250,,6.25,,1.860,1.860,,No,3.51,-2.16,-3.72,0.34,16339.9,1041.3
,M3,NGC 5272,GC,Canes Venatici,205.548417,28.377278,,6.39,,2.240,2.240,,No,-0.14,-2.64,-147.28,0.34,40816.3,2665.6
,M4,NGC 6121,GC,Scorpius,245.896750,-26.525750,,5.40,,7.300,7.300,,No,-12.48,-18.99,71.05,0.08,2002.0,4.4
,M5,NGC 5904,GC,Serpens Caput,229.638417,2.081028,7.34,5.95,1.39,4.220,4.220,,No,4.06,-9.89,53.70,0.25,8779.6,138.7
Butterfly Cluster,M6,NGC 6405,OC,Scorpius,265.069167,-32.241944,,4.20,,20.000,20.000,,No,-1.37,-5.81,-9.47,0.52,462.4,0.4
Ptolemy Cluster,M7,NGC 6475,OC,Scorpius,268.447083,-34.841111,,3.30,,100.100,100.100,,No,3.07,-5.32,-14.70,0.20,280.1,0.1
Lagoon Nebula,M8,NGC 6523,Neb,Sagittarius,270.904167,-24.386667,,5.00,,45.000,30.000,,Yes,,,3.80,,1272.0,9.0
,M9,NGC 6333,GC,Ophiuchus,259.799083,-18.516250,9.36,8.42,0.94,8.700,8.700,,No,-2.21,-3.21,310.75,2.12,8952.6,336.6
,M10,NGC 6254,GC,Ophiuchus,254.287708,-4.100306,,4.98,,3.620,3.620,,No,-4.72,-6.54,74.02,0.31,6635.7,96.9
Wild Duck Cluster,M11,NGC 6705,OC,Scutum,282.765833,-6.271944,6.32,5.80,0.52,8.900,8.900,,No,-1.57,-4.14,35.67,0.19,2341.9,11.0
,M12,NGC 6218,GC,Ophiuchus,251.809083,-1.948528,8.52,6.07,2.45,4.320,4.320,,No,-0.15,-6.77,-41.35,0.20,6313.1,87.7
Great Globular Cluster in Hercules,M13,NGC 6205,GC,Hercules,250.423475,36.461319,,5.80,,33.000,33.000,,No,-3.18,-2.56,-244.49,0.43,12300.1,196.7
,M14,NGC 6402,GC,Ophiuchus,264.400625,-3.245917,9.55,5.73,3.82,13.500,13.500,,No,-3.66,-5.03,-60.71,0.45,16977.9,1412.4
,M15,NGC 7078,GC,Pegasus,322.493042,12.167000,,6.30,,22.200,22.200,,No,-0.63,-3.80,-106.76,0.25,19157.1,1101.0
Eagle Nebula,M16,NGC 6611,Neb,Serpens Cauda,274.687917,-13.791944,6.58,6.00,0.58,5.050,5.050,90,Yes,0.18,-1.58,10.00,1.40,1766.8,18.7
Omega Nebula,M17,NGC 6618,Neb,Sagittarius,275.195833,-16.171667,,6.00,,1.630,1.630,90,Yes,-0.04,-1.40,-44.58,0.68,1666.7,111.1
,M18,NGC 6613,OC,Sagittarius,274.989167,-17.088889,,6.90,,5.000,5.000,90,No,-0.51,-0.92,-14.00,4.50,1562.5,14.6
,M19,NGC 6273,GC,Ophiuchus,255.657042,-26.267944,8.45,5.57,2.88,9.600,9.600,,No,-3.23,1.66,145.54,0.59,10695.2,320.3
Trifid Nebula,M20,NGC 6514,Neb,Sagittarius,270.675000,-22.971667,,6.30,,28.000,28.000,90,Yes,0.41,-1.69,-5.00,3.70,1265.8,80.1
,M21,NGC 6531,OC,Sagittarius,271.035833,-22.505000,,5.90,,14.000,14.000,90,No,0.53,-1.52,-18.22,1.31,1253.1,7.9
Sagittarius Cluster,M22,NGC 6656,GC,Sagittarius,279.099750,-23.904750,7.16,6.17,0.99,6.520,6.520,,No,9.82,-5.54,-147.76,0.30,3789.3,79.0
,M23,NGC 6494,OC,Sagittarius,269.237083,-18.986944,,5.50,,35.000,35.000,,No,0.28,-1.81,-31.73,0.01,738.6,1.1
Small Sagittarius Star Cloud,M24,IC 4715,StrCld,Sagittarius,274.200000,-18.550000,,4.60,,120.000,60.000,90,Yes,,,,,,
,M25,IC 4725,OC,Sagittarius,277.937083,-19.113889,,4.60,,31.300,31.300,,No,-1.72,-6.10,3.09,1.10,664.8,0.8
,M26,NGC 6694,OC,Scutum,281.317083,-9.386111,8.00,8.87,-0.87,7.100,7.100,,No,0.14,-1.41,4.00,7.40,1908.4,10.9
Dumbbell Nebula,M27,NGC 6853,PNeb,Vulpecula,299.901513,22.721198,13.75,14.09,-0.34,0.133,0.133,90,Yes,10.50,3.68,-42.00,5.00,376.3,6.2
,M28,NGC 6626,GC,Sagittarius,276.137042,-24.869833,,6.90,,3.120,3.120,,No,-0.33,-8.92,11.11,0.60,6410.3,143.8
Cooling Tower,M29,NGC 6913,OC,Cygnus,305.942917,38.486944,7.30,6.60,0.70,12.700,12.700,,No,-3.41,-5.77,-16.90,0.60,1808.3,9.8
,M30,NGC 7099,GC,Capricornus,325.092167,-23.179861,,7.10,,2.300,2.300,,No,-0.73,-7.24,-185.19,0.17,14792.9,984.7
Andromeda Galaxy,M31,NGC 224,SpiGal,Andromeda,10.684708,41.268750,4.36,3.44,0.92,199.530,70.790,35,No,0.00,0.00,-301.00,1.00,770000.0,21298.2
